"Index" "DOV.Open" "DOV.High" "DOV.Low" "DOV.Close" "DOV.Volume" "DOV.Adjusted"
"2010-07-28" 31.807426 32.095669 31.552698 31.726986 1653500 24.56415
"2010-07-29" 32.001823 32.25655 31.572809 31.995119 2516799 24.771759
"2010-07-30" 31.492369 32.263252 31.365004 32.156002 2333607 24.896324
"2010-08-02" 32.833038 33.07436 32.363804 32.766006 2421026 25.368608
"2010-08-03" 32.578312 32.866554 32.343693 32.551498 1717945 25.202528
"2010-08-04" 32.631939 33.121284 32.464355 33.087769 1556235 25.617723
"2010-08-05" 32.839745 33.181614 32.705677 32.879963 1449572 25.456831
"2010-08-06" 32.511276 32.973808 32.189518 32.973808 1733460 25.529484
"2010-08-09" 33.087769 33.101173 32.571609 32.853149 1689601 25.436079
"2010-08-10" 33.067657 33.322384 32.645348 33.148098 3177214 25.664433
"2010-08-11" 32.316879 32.404026 31.324783 31.411928 2153548 24.320227
"2010-08-12" 30.882362 31.411928 30.83544 31.244345 1577866 24.190474
"2010-08-13" 31.076759 31.365004 31.036539 31.110277 805268 24.086676
"2010-08-16" 30.815329 31.271156 30.533789 31.09687 1092587 24.076305
"2010-08-17" 31.478962 32.176109 31.331488 31.834238 1693778 24.6472
"2010-08-18" 31.834238 32.048748 31.425335 31.854349 1032915 24.662769
"2010-08-19" 31.65325 31.79402 30.862253 31.143793 1211333 24.112631
"2010-08-20" 30.848846 31.05665 30.520382 30.9561 1150319 23.967314
"2010-08-23" 31.170607 31.230936 30.339392 30.41983 2743402 23.552113
"2010-08-24" 29.91708 30.004223 29.581911 29.803122 1939924 23.074633
"2010-08-25" 29.494768 29.803122 28.978609 29.655649 1936940 22.960451
"2010-08-26" 29.9573 30.325983 29.602022 29.729385 1840421 23.017551
"2010-08-27" 29.762901 30.466755 29.24004 30.399721 2516948 23.683397
"2010-08-30" 30.258951 30.466755 29.809826 29.809826 2004667 23.223824
"2010-08-31" 29.648945 30.352798 29.421032 30.004223 2010635 23.375282
"2010-09-01" 30.620932 32.035339 30.486864 31.954901 2920626 24.894983
"2010-09-02" 31.867756 32.544796 31.867756 32.484467 2152504 25.30755
"2010-09-03" 33.01403 33.557003 32.886665 32.987217 1855339 25.699226
"2010-09-07" 32.658752 32.993919 32.531387 32.598423 1296366 25.396324
"2010-09-08" 32.719082 33.148098 32.61853 32.645348 1625305 25.432884
"2010-09-09" 33.201725 33.288868 32.625237 32.799522 1440622 25.552998
"2010-09-10" 32.926888 33.181614 32.712379 32.980515 1991838 25.694006
"2010-09-13" 33.369308 33.677662 33.114578 33.503376 1920680 26.101358
"2010-09-14" 33.456451 34.026237 33.241943 33.784916 2239475 26.320688
"2010-09-15" 33.670959 33.818432 33.342495 33.650848 1512675 26.216246
"2010-09-16" 33.181614 33.644146 33.181614 33.409527 1954543 26.028238
"2010-09-17" 33.570408 34.187119 33.335793 33.912281 2822467 26.41991
"2010-09-20" 34.046349 34.803825 33.965908 34.750198 1713619 27.07271
"2010-09-21" 34.763607 34.844048 34.247448 34.441845 2026597 26.832472
"2010-09-22" 34.495472 34.629539 33.711178 33.945797 2135348 26.44602
"2010-09-23" 33.557003 33.825134 33.221832 33.288868 1493580 25.934233
"2010-09-24" 33.905579 34.770309 33.771507 34.730087 2155487 27.057045
"2010-09-27" 34.803825 34.830639 34.17371 34.17371 1917249 26.623594
"2010-09-28" 34.220634 34.56921 33.603924 34.495472 2268416 26.87426
"2010-09-29" 34.280964 34.837341 34.153603 34.777012 3142903 27.093596
"2010-09-30" 34.917782 35.52779 34.683167 34.998222 6043241 27.265934
"2010-10-01" 35.3535 35.427238 34.857452 35.206028 2465332 27.427835
"2010-10-04" 35.199326 35.480865 34.448547 34.937893 2292583 27.218937
