"Index" "CNC.Open" "CNC.High" "CNC.Low" "CNC.Close" "CNC.Volume" "CNC.Adjusted"
"2008-01-04" 6.775 6.935 6.7025 6.8625 1420800 6.8625
"2008-01-07" 6.8825 7.05 6.8625 6.985 2072800 6.985
"2008-01-08" 7.005 7.1225 6.9575 7.1 4171200 7.1
"2008-01-09" 6.855 6.97 6.5 6.8325 5876400 6.8325
"2008-01-10" 6.665 6.97 6.445 6.84 3711200 6.84
"2008-01-11" 6.7725 6.8175 6.665 6.6925 1991200 6.6925
"2008-01-14" 6.7275 6.83 6.675 6.775 1284800 6.775
"2008-01-15" 6.7 6.875 6.6625 6.6825 1798400 6.6825
"2008-01-16" 6.6175 6.9875 6.6175 6.9275 2584400 6.9275
"2008-01-17" 6.965 6.965 6.6575 6.76 1762800 6.76
"2008-01-18" 6.7875 6.7875 6.4525 6.5925 2725200 6.5925
"2008-01-22" 6.385 6.7475 6.0825 6.4975 1955200 6.4975
"2008-01-23" 6.3625 6.375 6.1625 6.37 3537600 6.37
"2008-01-24" 6.385 6.4775 6.2225 6.32 1926800 6.32
"2008-01-25" 6.385 6.3875 5.9925 6.0125 2817600 6.0125
"2008-01-28" 6.0125 6.2975 5.8275 6.2175 3208400 6.2175
"2008-01-29" 6.26 6.3075 6.07 6.07 1652400 6.07
"2008-01-30" 6.0375 6.25 6.02 6.0275 1620000 6.0275
"2008-01-31" 6 6.1575 5.9325 5.985 3233200 5.985
"2008-02-01" 6.01 6.1725 5.9725 6.1625 1593200 6.1625
"2008-02-04" 6.1175 6.375 6.05 6.1925 2827200 6.1925
"2008-02-05" 5.855 6.1675 5.835 6.0375 2907200 6.0375
"2008-02-06" 6.065 6.195 6.0525 6.1275 1966400 6.1275
"2008-02-07" 6.1175 6.25 6.0925 6.1675 3692800 6.1675
"2008-02-08" 5.475 5.495 4.905 5.355 24612400 5.355
"2008-02-11" 5.15 5.15 4.6875 4.7925 12665200 4.7925
"2008-02-12" 4.825 4.975 4.6425 4.84 5117200 4.84
"2008-02-13" 4.865 4.865 4.655 4.7625 4821200 4.7625
"2008-02-14" 4.7625 4.845 4.7125 4.7125 2839600 4.7125
"2008-02-15" 4.6975 4.8725 4.6725 4.8725 4690400 4.8725
"2008-02-19" 4.9275 4.95 4.6775 4.68 3378800 4.68
"2008-02-20" 4.6425 4.825 4.5375 4.8125 4162000 4.8125
"2008-02-21" 4.8275 4.845 4.685 4.705 3043600 4.705
"2008-02-22" 4.715 4.74 4.585 4.675 2130400 4.675
"2008-02-25" 4.6675 4.7625 4.6675 4.7225 3389600 4.7225
"2008-02-26" 4.71 4.895 4.71 4.845 2874800 4.845
"2008-02-27" 4.805 4.9575 4.805 4.86 2544400 4.86
"2008-02-28" 4.795 4.8675 4.685 4.695 1976800 4.695
"2008-02-29" 4.6325 4.7025 4.4425 4.48 2950800 4.48
"2008-03-03" 4.4475 4.6125 4.4475 4.58 2394800 4.58
"2008-03-04" 4.545 4.6425 4.48 4.6075 5028400 4.6075
"2008-03-05" 4.585 4.645 4.4075 4.4275 2572000 4.4275
"2008-03-06" 4.4125 4.4725 4.35 4.39 3022000 4.39
"2008-03-07" 4.35 4.5575 4.35 4.5 2906400 4.5
"2008-03-10" 4.5075 4.5175 4.29 4.31 2540800 4.31
"2008-03-11" 4.1625 4.3325 3.8 3.855 5901600 3.855
"2008-03-12" 3.8 4.31 3.7775 4.2025 5530000 4.2025
"2008-03-13" 4.1625 4.4875 4.145 4.445 5242000 4.445
"2008-03-14" 4.4925 4.4925 4.2725 4.325 3566800 4.325
"2008-03-17" 4.2075 4.475 4.2025 4.3775 2658400 4.3775
"2008-03-18" 4.47 4.515 4.2675 4.4575 2477600 4.4575
"2008-03-19" 4.3125 4.3725 3.42 3.465 14228000 3.465
"2008-03-20" 3.49 3.78 3.395 3.725 9400000 3.725
"2008-03-24" 3.735 3.735 3.585 3.6775 3406400 3.6775
"2008-03-25" 3.72 3.745 3.6625 3.7075 2133600 3.7075
"2008-03-26" 3.685 3.75 3.6175 3.6425 2256800 3.6425
"2008-03-27" 3.675 3.7375 3.645 3.645 1868000 3.645
"2008-03-28" 3.6575 3.665 3.5125 3.5325 2454400 3.5325
"2008-03-31" 3.5475 3.6125 3.48 3.485 2796400 3.485
"2008-04-01" 3.575 3.655 3.555 3.6275 2659600 3.6275
"2008-04-02" 3.6325 3.6325 3.48 3.51 2712800 3.51
"2008-04-03" 3.485 3.615 3.455 3.5525 1689600 3.5525
"2008-04-04" 3.5525 3.6375 3.5 3.565 1320800 3.565
"2008-04-07" 3.5825 3.5875 3.4775 3.525 1236000 3.525
"2008-04-08" 3.5075 3.6325 3.5 3.5825 1784000 3.5825
"2008-04-09" 3.575 3.5925 3.455 3.4825 1199600 3.4825
"2008-04-10" 3.4825 3.5525 3.37 3.425 1621600 3.425
"2008-04-11" 3.4575 3.4575 3.3825 3.3975 1445600 3.3975
"2008-04-14" 3.3875 3.3875 3.275 3.325 1418800 3.325
"2008-04-15" 3.345 3.455 3.345 3.4225 2297200 3.4225
"2008-04-16" 3.45 3.4575 3.35 3.38 3036800 3.38
"2008-04-17" 3.3575 3.3825 3.315 3.36 1951200 3.36
"2008-04-18" 3.4275 3.5 3.375 3.4225 1969600 3.4225
"2008-04-21" 3.3825 3.56 3.3825 3.4875 2611200 3.4875
"2008-04-22" 3.57 4.1725 3.57 3.805 7288800 3.805
"2008-04-23" 3.8125 4.0125 3.76 3.9725 2754400 3.9725
"2008-04-24" 3.9675 4.05 3.8575 4.0225 1911600 4.0225
"2008-04-25" 4.05 4.3675 4.0225 4.21 3169600 4.21
"2008-04-28" 4.2125 4.475 4.2125 4.3825 3529200 4.3825
"2008-04-29" 4.5975 4.725 4.52 4.61 4488000 4.61
"2008-04-30" 4.54 4.665 4.365 4.5925 2780400 4.5925
"2008-05-01" 4.6125 4.74 4.525 4.6625 1760800 4.6625
"2008-05-02" 4.71 4.71 4.455 4.5475 2198000 4.5475
"2008-05-05" 4.53 4.635 4.53 4.5825 1571200 4.5825
"2008-05-06" 4.585 4.69 4.54 4.625 1757600 4.625
"2008-05-07" 4.62 4.8425 4.615 4.765 3338000 4.765
"2008-05-08" 4.7525 4.81 4.72 4.795 1763200 4.795
"2008-05-09" 4.69 4.85 4.69 4.7925 1439200 4.7925
"2008-05-12" 4.7825 4.875 4.7275 4.8275 1413200 4.8275
"2008-05-13" 4.825 4.845 4.7125 4.7725 1512800 4.7725
"2008-05-14" 4.7625 4.91 4.7625 4.8625 1359200 4.8625
"2008-05-15" 4.8425 4.895 4.7875 4.835 1173600 4.835
"2008-05-16" 4.85 4.8675 4.695 4.8175 1154400 4.8175
"2008-05-19" 4.805 4.8775 4.79 4.8175 1116800 4.8175
"2008-05-20" 4.7875 4.85 4.7375 4.795 961200 4.795
"2008-05-21" 4.835 5.185 4.7975 5.085 2773200 5.085
"2008-05-22" 5.0975 5.115 4.9 5.055 1203600 5.055
"2008-05-23" 5.0125 5.025 4.865 4.95 869200 4.95
"2008-05-27" 4.95 5.175 4.95 5.1125 836000 5.1125
"2008-05-28" 5.1375 5.1625 5.01 5.145 643600 5.145
"2008-05-29" 5.12 5.275 5.11 5.12 1034000 5.12
"2008-05-30" 5.115 5.2925 5.0425 5.2775 1424400 5.2775
"2008-06-02" 5.2775 5.295 4.865 5.0025 1774400 5.0025
"2008-06-03" 5.03 5.115 4.9725 5.07 1789200 5.07
"2008-06-04" 5.095 5.095 4.9625 5.06 1719600 5.06
"2008-06-05" 5.085 5.425 5.065 5.3475 1865600 5.3475
"2008-06-06" 5.2925 5.2925 5.07 5.075 1066400 5.075
"2008-06-09" 5.125 5.17 5.0525 5.1 1347600 5.1
"2008-06-10" 5.055 5.1525 4.96 4.985 1837200 4.985
"2008-06-11" 4.955 4.955 4.7075 4.7925 2779200 4.7925
"2008-06-12" 4.7825 4.8675 4.76 4.81 1631600 4.81
"2008-06-13" 4.875 4.9075 4.7975 4.87 1960000 4.87
"2008-06-16" 4.9 4.9825 4.85 4.885 1664400 4.885
"2008-06-17" 4.8525 4.93 4.7725 4.7725 1388800 4.7725
"2008-06-18" 4.775 4.8325 4.7175 4.7725 1400800 4.7725
"2008-06-19" 4.5575 4.585 4.4375 4.5525 2662800 4.5525
"2008-06-20" 4.525 4.6125 4.425 4.5075 2312400 4.5075
"2008-06-23" 4.525 4.5875 4.31 4.3675 1469200 4.3675
"2008-06-24" 4.3275 4.435 4.2875 4.2875 1390800 4.2875
"2008-06-25" 4.27 4.485 4.2575 4.4275 1035600 4.4275
"2008-06-26" 4.3675 4.46 4.305 4.3575 1710400 4.3575
"2008-06-27" 4.365 4.4175 4.2925 4.345 3388800 4.345
"2008-06-30" 4.3225 4.3875 4.1975 4.1975 1349200 4.1975
"2008-07-01" 4.15 4.235 4.115 4.19 2353600 4.19
"2008-07-02" 4.26 4.4 4.1 4.375 2031600 4.375
"2008-07-03" 4.2975 4.4025 4.24 4.345 1126000 4.345
"2008-07-07" 4.415 4.415 4.2175 4.3475 1519200 4.3475
"2008-07-08" 4.37 4.48 4.3275 4.455 1886800 4.455
"2008-07-09" 4.45 4.4775 4.34 4.3575 2565200 4.3575
"2008-07-10" 4.345 4.4225 4.2275 4.395 2010800 4.395
"2008-07-11" 4.375 4.425 4.2525 4.395 1884800 4.395
"2008-07-14" 4.4375 4.4925 4.3225 4.3825 1324800 4.3825
"2008-07-15" 4.355 4.495 4.325 4.3875 1844000 4.3875
"2008-07-16" 4.415 4.475 4.3475 4.4025 1356400 4.4025
"2008-07-17" 4.4075 4.445 4.2825 4.44 1752400 4.44
"2008-07-18" 4.4475 4.4475 4.28 4.3125 1924800 4.3125
"2008-07-21" 4.2675 4.38 4.24 4.2425 2827600 4.2425
"2008-07-22" 4.285 5.1475 4.285 4.98 7395200 4.98
"2008-07-23" 4.9875 5.4025 4.9875 5.4025 4390400 5.4025
"2008-07-24" 5.445 5.56 5.3175 5.4625 2890400 5.4625
"2008-07-25" 5.42 5.5175 5.3725 5.4325 1555600 5.4325
"2008-07-28" 5.435 5.615 5.425 5.44 1627200 5.44
"2008-07-29" 5.4625 5.75 5.46 5.725 3080400 5.725
"2008-07-30" 5.7625 5.9125 5.6025 5.705 3150400 5.705
"2008-07-31" 5.6575 5.7825 5.5525 5.5775 2721600 5.5775
"2008-08-01" 5.6375 5.775 5.59 5.6875 2196800 5.6875
"2008-08-04" 5.675 5.76 5.605 5.665 1621200 5.665
"2008-08-05" 5.7325 5.9 5.6325 5.885 1794800 5.885
"2008-08-06" 5.89 5.89 5.675 5.7775 1478800 5.7775
"2008-08-07" 5.7625 5.7925 5.605 5.6225 1601600 5.6225
"2008-08-08" 5.655 5.75 5.4925 5.725 1116800 5.725
"2008-08-11" 5.755 5.935 5.645 5.79 1344400 5.79
"2008-08-12" 5.7675 5.835 5.6725 5.8075 1265200 5.8075
"2008-08-13" 5.795 5.9225 5.77 5.875 951200 5.875
"2008-08-14" 5.875 6.055 5.82 5.8775 1690800 5.8775
"2008-08-15" 5.8775 5.965 5.3775 5.8025 1127200 5.8025
"2008-08-18" 5.7975 5.7975 5.4975 5.57 3134400 5.57
"2008-08-19" 5.555 5.57 5.2675 5.485 2895200 5.485
"2008-08-20" 5.46 5.55 5.3475 5.45 1186000 5.45
"2008-08-21" 5.4225 5.725 5.4225 5.66 1664800 5.66
"2008-08-22" 5.71 5.955 5.67 5.945 1813200 5.945
"2008-08-25" 5.94 5.9725 5.655 5.795 1560800 5.795
"2008-08-26" 5.8125 5.985 5.715 5.845 1967600 5.845
"2008-08-27" 5.8375 5.99 5.7575 5.9125 1716000 5.9125
"2008-08-28" 5.735 5.805 5.545 5.7525 2105600 5.7525
"2008-08-29" 5.725 5.85 5.6275 5.645 1145600 5.645
"2008-09-02" 5.7225 5.8525 5.6625 5.7475 1891200 5.7475
"2008-09-03" 5.7425 5.8575 5.6475 5.7175 2938800 5.7175
"2008-09-04" 5.6975 5.825 5.655 5.7475 2255200 5.7475
"2008-09-05" 5.7125 5.745 5.4575 5.6225 2092400 5.6225
"2008-09-08" 5.7625 5.86 5.66 5.86 1960400 5.86
"2008-09-09" 5.85 6.11 5.77 5.77 2335600 5.77
"2008-09-10" 5.815 6.0475 5.8125 5.975 1875600 5.975
