"Index" "KMB.Open" "KMB.High" "KMB.Low" "KMB.Close" "KMB.Volume" "KMB.Adjusted"
"2007-11-05" 65.675934 66.951103 65.675934 66.423775 2421220 38.277306
"2007-11-06" 66.366249 66.768936 65.867691 66.673058 1704053 38.420971
"2007-11-07" 66.184082 66.452538 65.186958 65.186958 2002873 37.564594
"2007-11-08" 65.244484 66.097794 64.89933 65.925217 3467349 37.990013
"2007-11-09" 65.186958 66.212845 65.186958 65.32119 3299843 37.641949
"2007-11-12" 65.340363 66.232025 64.956856 65.167786 2387949 37.553551
"2007-11-13" 65.704697 66.490891 65.148613 66.442955 2442915 38.288383
"2007-11-14" 66.711411 66.711411 65.397888 65.54171 2490893 37.769016
"2007-11-15" 65.675934 66.625122 65.656761 65.886864 2491623 37.967918
"2007-11-16" 66.1745 66.69223 65.627998 66.299133 2964206 38.20549
"2007-11-19" 65.75264 66.222435 65.675934 65.848511 2753311 37.945827
"2007-11-20" 65.819748 66.960693 65.675934 66.078621 2839150 38.078426
"2007-11-21" 65.666344 66.279961 64.774689 64.774689 3308187 37.327026
"2007-11-23" 65.071907 65.484177 64.707573 65.436241 790177 37.708256
"2007-11-26" 64.956856 66.826462 64.956856 65.52253 3080605 37.757961
"2007-11-27" 65.886864 66.586769 65.417068 66.279961 2810155 38.194427
"2007-11-28" 66.644295 66.874397 65.723869 66.836052 3069028 38.514896
"2007-11-29" 66.634705 66.941513 65.858101 66.510071 2635348 38.327053
"2007-11-30" 67.171623 67.430489 66.404602 66.931931 2676860 38.570145
"2007-12-03" 66.931931 66.970276 66.011505 66.721001 2898184 38.448601
"2007-12-04" 66.385429 66.730583 65.580055 65.627998 2811719 37.818748
"2007-12-05" 65.666344 66.951103 65.54171 66.778526 3658531 38.782028
"2007-12-06" 66.759346 67.114098 65.934799 66.519653 2504243 38.631699
"2007-12-07" 66.634705 67.066154 66.308723 66.471718 3208581 38.603848
"2007-12-10" 66.519653 66.999039 66.433365 66.836052 1731693 38.815434
"2007-12-11" 66.836052 67.171623 65.733459 65.829338 3018233 38.230789
"2007-12-12" 67.171623 67.171623 66.059441 66.711411 3080292 38.743057
"2007-12-13" 66.356667 66.864815 65.75264 66.366249 2204276 38.542599
"2007-12-14" 65.790985 66.251198 65.30201 65.30201 2232542 37.924538
"2007-12-17" 65.148613 65.896454 65.004791 65.359543 2407244 37.957947
"2007-12-18" 65.369125 65.96357 64.88974 65.254074 3156640 37.896698
"2007-12-19" 65.493767 66.097794 65.052734 65.3116 2020500 37.930107
"2007-12-20" 65.733459 66.721001 65.608818 66.577179 2672792 38.665096
"2007-12-21" 66.395012 67.3442 66.279961 66.433365 4689328 38.581593
"2007-12-24" 66.768936 67.075745 66.404602 66.951103 816878 38.882256
"2007-12-26" 67.085335 67.257912 66.634705 67.200386 1759019 39.02702
"2007-12-27" 66.826462 67.114098 66.4813 66.634705 1595894 38.698509
"2007-12-28" 67.046982 67.449661 66.816872 67.056564 1536861 38.943516
"2007-12-31" 66.788109 67.411316 66.471718 66.4813 1451960 38.609425
"2008-01-02" 66.232025 66.625122 65.723869 65.982742 2137420 38.319874
"2008-01-03" 65.838928 66.69223 65.838928 66.327904 2591021 38.520329
"2008-01-04" 66.212845 66.519653 65.819748 66.126556 3300991 38.403389
"2008-01-07" 66.404602 66.816872 66.088203 66.625122 2759569 38.692917
"2008-01-08" 66.385429 66.634705 65.282837 65.484177 3028142 38.030327
"2008-01-09" 65.695107 66.634705 65.53212 66.634705 3954430 38.698509
"2008-01-10" 66.155319 66.529243 65.560883 65.580055 3621400 38.086006
"2008-01-11" 65.11026 65.503357 63.710449 64.017258 4014716 37.178402
"2008-01-14" 64.45829 64.928093 64.055611 64.736336 2236401 37.59602
"2008-01-15" 64.074783 64.88974 63.873444 64.429527 2571204 37.417839
"2008-01-16" 64.266541 64.67881 63.796741 63.892616 3532432 37.106026
"2008-01-17" 64.237778 64.237778 63.03931 63.135185 2900479 36.666142
"2008-01-18" 63.374882 63.518696 62.195591 62.377754 3901654 36.226261
"2008-01-22" 60.249283 62.617451 59.597317 61.879196 6320997 35.936718
"2008-01-23" 60.364334 62.205177 60.364334 61.783318 4858711 35.881031
"2008-01-24" 61.361458 62.473633 59.904121 61.773731 3722258 35.875484
"2008-01-25" 62.243526 62.243526 60.786194 61.43816 3810913 35.68058
"2008-01-28" 61.6395 62.118889 60.872482 61.275169 3775660 35.585922
"2008-01-29" 61.629913 63.125599 61.457336 62.742088 3919594 36.437843
"2008-01-30" 62.358582 62.885906 61.64909 61.86002 2729010 35.925583
"2008-01-31" 61.102589 63.163952 61.102589 62.924255 3164671 36.543625
"2008-02-01" 62.799618 64.343239 62.799618 64.276131 3549746 37.328762
"2008-02-04" 64.141899 64.141899 63.08725 63.317352 2000161 36.771935
"2008-02-05" 62.329819 63.231064 62.329819 62.742088 2706064 36.437843
"2008-02-06" 63.048897 63.192715 62.243526 62.607861 2439264 36.359898
"2008-02-07" 62.511986 62.924255 61.946308 62.377754 2785019 36.226261
"2008-02-08" 62.166824 62.406521 61.64909 61.907959 2344351 35.95343
"2008-02-11" 61.936722 62.195591 61.572388 62.042187 3424482 36.03138
"2008-02-12" 62.301056 63.096836 62.003834 62.905083 4801138 36.532513
"2008-02-13" 63.307766 63.643337 62.339405 62.617451 4450168 36.365463
"2008-02-14" 62.502396 62.588688 61.303932 61.505272 4165220 35.719563
"2008-02-15" 61.390221 61.773731 61.073826 61.773731 3302138 35.875484
"2008-02-19" 62.348991 62.348991 61.255993 61.371044 2661423 35.641624
"2008-02-20" 60.958775 61.620327 60.910835 61.610737 3263443 35.780804
"2008-02-21" 61.553211 62.02301 61.265579 61.495686 3625364 35.713978
"2008-02-22" 61.553211 62.44487 61.476509 62.358582 3448054 36.215118
"2008-02-25" 62.368168 62.972195 62.368168 62.799618 2501948 36.471264
"2008-02-26" 62.377754 63.413231 62.205177 63.231064 2228161 36.721817
"2008-02-27" 63.048897 63.825504 62.972195 63.480347 2443749 36.866589
"2008-02-28" 63.125599 63.595398 62.761265 63.048897 2295956 36.616028
"2008-02-29" 62.531158 62.943432 62.348991 62.492809 2338823 36.293072
"2008-03-03" 62.531158 62.847553 62.166824 62.847553 2220964 36.499088
"2008-03-04" 62.435284 62.550335 61.697029 62.310642 2951690 36.187279
"2008-03-05" 61.888783 62.214764 61.409397 61.81208 3550476 36.220989
"2008-03-06" 61.744965 61.792904 61.246407 61.294342 3075077 35.917599
"2008-03-07" 61.169704 61.43816 60.565678 60.901245 5098080 35.687263
"2008-03-10" 60.834133 61.390221 60.834133 60.997124 2138567 35.743439
"2008-03-11" 61.466923 61.735378 60.862896 61.303932 2529484 35.923225
"2008-03-12" 61.323105 61.524448 60.488976 60.546501 2554829 35.479382
"2008-03-13" 60.776608 61.188877 60.115051 61.0163 2545337 35.754669
"2008-03-14" 61.361458 61.361458 59.990414 60.393097 3389854 35.389484
"2008-03-17" 60.239693 61.054649 60.172581 60.661552 4691727 35.546787
"2008-03-18" 61.361458 61.802494 60.79578 61.802494 3387455 36.215378
"2008-03-19" 62.291466 62.837967 61.764141 61.802494 3407898 36.215378
"2008-03-20" 61.879196 63.02972 61.677853 62.291466 2598322 36.501896
"2008-03-24" 62.416107 62.559921 61.936722 62.281879 2573498 36.496281
"2008-03-25" 62.195591 62.809204 61.955894 62.732502 1689660 36.760345
