"Index" "GWW.Open" "GWW.High" "GWW.Low" "GWW.Close" "GWW.Volume" "GWW.Adjusted"
"2020-06-26" 295.779999 297.429993 291.220001 293.119995 635600 281.154205
"2020-06-29" 296.5 305.410004 296.390015 303.470001 360800 291.081635
"2020-06-30" 304.429993 315.940002 304.059998 314.160004 509300 301.335297
"2020-07-01" 314.459991 316.809998 307.51001 307.959991 396700 295.388367
"2020-07-02" 313.200012 318.299988 310.450012 317.51001 311800 304.548553
"2020-07-06" 322.700012 324.200012 319.98999 322.190002 318700 309.037476
"2020-07-07" 319.230011 324.790009 318.809998 320.850006 334300 307.752167
"2020-07-08" 317.600006 320.619995 304.839996 308.769989 457400 296.165344
"2020-07-09" 310.290009 312.929993 306.940002 308.98999 266200 296.376312
"2020-07-10" 309.23999 311.140015 305.5 311.019989 259100 298.323425
"2020-07-13" 314.380005 324.369995 313.390015 319.529999 581900 306.486023
"2020-07-14" 319.410004 327.829987 318.76001 327.589996 403300 314.21701
"2020-07-15" 331.200012 335.019989 326.839996 333.619995 390100 320.000916
"2020-07-16" 333.540009 337.910004 330.600006 333.320007 226300 319.713165
"2020-07-17" 335.040009 336.320007 329.76001 330.269989 824500 316.787659
"2020-07-20" 326.920013 332 325.640015 330.730011 308100 317.228821
"2020-07-21" 333.339996 339.279999 333.070007 337.320007 360800 323.549866
"2020-07-22" 337.660004 342.829987 336.570007 338.950012 315500 325.113281
"2020-07-23" 338.940002 343.100006 326.640015 338.660004 519000 324.835114
"2020-07-24" 339.040009 347.450012 336.049988 341.390015 395800 327.453674
"2020-07-27" 341.049988 346.109985 339.309998 339.790009 385500 325.919006
"2020-07-28" 337.769989 338.390015 333.519989 333.649994 358900 320.029633
"2020-07-29" 335.209991 343.179993 335.209991 340.76001 488300 326.849426
"2020-07-30" 336.329987 340.480011 333.100006 339.790009 239500 325.919006
"2020-07-31" 340.190002 341.720001 335.160004 341.529999 478200 327.588013
"2020-08-03" 342.920013 345.839996 341.880005 341.959991 197900 328.000366
"2020-08-04" 341.040009 342.920013 337.700012 338.519989 259200 324.700775
"2020-08-05" 340.429993 344.709991 336.910004 344.410004 275400 330.350433
"2020-08-06" 344.410004 346.880005 343.269989 346.589996 294300 332.441406
"2020-08-07" 345.399994 349.51001 343.380005 349.380005 197600 336.603455
"2020-08-10" 348.5 353.73999 347.920013 352.070007 248400 339.195068
"2020-08-11" 352.070007 356.779999 351.399994 352.920013 369000 340.014008
"2020-08-12" 354.690002 358.059998 352.769989 355.809998 186500 342.798279
"2020-08-13" 353.950012 354.859985 350.519989 352.070007 120900 339.195068
"2020-08-14" 351.25 354.320007 348.359985 351.380005 147800 338.530273
"2020-08-17" 350.160004 354.209991 348.570007 351.899994 270900 339.031281
"2020-08-18" 352.859985 355.359985 352.170013 353.25 217000 340.33194
"2020-08-19" 354.880005 355.51001 350.220001 350.829987 125400 338.000397
"2020-08-20" 349.540009 355.649994 349.029999 354.25 164100 341.295319
"2020-08-21" 353.23999 355.450012 350.649994 352.609985 176600 339.715302
"2020-08-24" 352.329987 353.720001 346.029999 349.160004 322700 336.391479
"2020-08-25" 351.130005 355.480011 350.609985 354.679993 296500 341.709564
"2020-08-26" 352.230011 365.660004 352.230011 361.48999 501800 348.270508
"2020-08-27" 361.420013 366.25 361.190002 362.470001 226200 349.214722
"2020-08-28" 361.48999 366.529999 361.019989 365.980011 215800 352.596375
"2020-08-31" 365 369.359985 363.779999 365.429993 310000 352.066437
"2020-09-01" 364.25 367.76001 362.869995 367.420013 178700 353.983704
"2020-09-02" 368.399994 371.869995 367.100006 370.5 226900 356.951111
"2020-09-03" 371.820007 371.820007 357.459991 360.119995 169600 346.950623
"2020-09-04" 362 364.179993 351.670013 358.079987 232200 344.98526
"2020-09-08" 358.380005 358.589996 349.769989 350.160004 378500 337.35495
"2020-09-09" 353.25 363.420013 353.25 361.279999 228300 348.068237
"2020-09-10" 360.25 360.25 350.459991 351.320007 229700 338.472504
"2020-09-11" 352.880005 355.929993 350.959991 355.179993 210800 342.191315
"2020-09-14" 358.640015 358.640015 352.649994 354.339996 202000 341.38208
"2020-09-15" 356.470001 358.679993 354.649994 354.649994 205500 341.680725
"2020-09-16" 361.089996 362.799988 356.089996 356.709991 331000 343.665375
"2020-09-17" 353.630005 359.649994 350.079987 355.429993 312900 342.432129
"2020-09-18" 354.570007 357.450012 349.779999 351.089996 466000 338.250916
"2020-09-21" 346.799988 349.26001 338.029999 341.570007 388400 329.079041
"2020-09-22" 341.600006 345.170013 338.799988 343.679993 376100 331.111847
"2020-09-23" 343.519989 345.200012 338.130005 339.089996 430300 326.689728
"2020-09-24" 340.519989 347.179993 337.25 342.480011 246600 329.95575
"2020-09-25" 341.170013 350.190002 339.799988 347.399994 246900 334.695801
"2020-09-28" 351.420013 357.029999 351.420013 353.670013 156000 340.736572
"2020-09-29" 353.579987 354.459991 349.079987 352.079987 115100 339.204712
"2020-09-30" 356.079987 359.769989 353.609985 356.769989 335600 343.723206
"2020-10-01" 358.170013 360.160004 352.850006 358.029999 254900 344.937073
"2020-10-02" 355.109985 362.019989 353.470001 359.390015 162900 346.247375
"2020-10-05" 361.929993 372.679993 361.929993 371.160004 193600 357.586975
"2020-10-06" 372.440002 374.179993 367.350006 367.709991 315600 354.263092
"2020-10-07" 371.51001 379.299988 370.820007 376.399994 200200 362.635315
"2020-10-08" 376.730011 389.170013 376.390015 385.98999 468800 371.874603
"2020-10-09" 386.679993 392.350006 383.119995 385.420013 417300 371.32547
"2020-10-12" 388.540009 392.529999 385.790009 388.660004 265500 374.44693
"2020-10-13" 385.48999 386.329987 380.109985 384.160004 296100 370.111542
"2020-10-14" 386.589996 391 383.769989 386.23999 246600 372.115479
"2020-10-15" 381.51001 387.440002 381.51001 385.649994 193900 371.547028
"2020-10-16" 388.179993 390.380005 382.75 383.540009 432900 369.51416
"2020-10-19" 385.320007 387.179993 373.380005 374.73999 312200 361.036072
"2020-10-20" 377.959991 381.290009 374.589996 375.839996 248400 362.095764
"2020-10-21" 375.579987 379.48999 370.529999 373.440002 442600 359.783569
"2020-10-22" 371.359985 375.609985 352.76001 362.019989 597200 348.781158
"2020-10-23" 363.170013 367.809998 360 361.029999 346600 347.827423
"2020-10-26" 356.920013 361.480011 356.109985 361.279999 415600 348.068237
"2020-10-27" 362.299988 364 357.459991 357.640015 289900 344.561432
"2020-10-28" 352.579987 358.609985 350.799988 352.549988 528600 339.657501
"2020-10-29" 352.01001 354.570007 348.299988 350.109985 306700 337.306641
"2020-10-30" 348.869995 351.929993 345 350.019989 382700 337.21994
"2020-11-02" 354.23999 363.299988 354.23999 363.230011 283600 349.94696
"2020-11-03" 366.730011 374.040009 366.730011 371.220001 230800 357.644745
"2020-11-04" 374.959991 379.329987 368.829987 374.709991 375200 361.007141
"2020-11-05" 379.890015 383.75 376.899994 378.839996 304700 364.986084
"2020-11-06" 378.51001 393.25 377.440002 390.630005 327400 377.871063
"2020-11-09" 403.160004 411.869995 388.220001 388.220001 406600 375.539764
"2020-11-10" 390.109985 405.75 388.890015 404.480011 420200 391.268646
"2020-11-11" 405 407.399994 399.48999 403.390015 286000 390.214233
"2020-11-12" 403.399994 403.399994 394.630005 398.170013 198300 385.164795
"2020-11-13" 400 409 400 403.309998 214800 390.136841
"2020-11-16" 406.76001 414.970001 404.619995 414.529999 325500 400.990387
"2020-11-17" 412.470001 412.899994 405.519989 410.459991 245900 397.053314
"2020-11-18" 411.48999 420.540009 411.48999 415.01001 310400 401.454712
"2020-11-19" 413.059998 424.079987 411.529999 422.859985 290500 409.048248
"2020-11-20" 419.339996 419.339996 405.230011 409.299988 417600 395.931213
"2020-11-23" 411.350006 416.279999 407.920013 414.850006 241100 401.299927
"2020-11-24" 416.369995 423.970001 415.230011 420.549988 324700 406.813782
"2020-11-25" 420.140015 421.690002 410.209991 414.579987 507400 401.038757
"2020-11-27" 413.829987 418.730011 413.829987 414.579987 140600 401.038757
"2020-11-30" 414 418.75 411.579987 418.299988 565500 404.637299
"2020-12-01" 424.329987 427.899994 412.769989 413.140015 346800 399.645782
"2020-12-02" 411.720001 415.399994 406.089996 407.320007 254300 394.01593
"2020-12-03" 405.070007 410.399994 401.660004 402.679993 256400 389.527435
"2020-12-04" 402.119995 407.440002 402.119995 404.769989 226400 391.549164
"2020-12-07" 402.440002 409.100006 402.309998 405 228000 391.771698
"2020-12-08" 403 408.130005 403 406.670013 215300 393.387115
"2020-12-09" 410.130005 412.850006 407.809998 411.220001 245800 397.788513
"2020-12-10" 408.320007 408.320007 400.5 402.320007 254500 389.179199
"2020-12-11" 400 405.880005 400 403.529999 265600 390.34964
"2020-12-14" 400 405.890015 400 400.459991 241300 387.379944
"2020-12-15" 403.51001 408.079987 401.549988 405.600006 207400 392.352081
"2020-12-16" 405.279999 408.320007 402.040009 406.380005 255900 393.106598
"2020-12-17" 407.579987 411.079987 407.040009 410.040009 259100 396.647064
"2020-12-18" 410.470001 411.709991 404.549988 410.459991 536500 397.053314
"2020-12-21" 405 414.01001 401.600006 411.779999 317400 398.330231
"2020-12-22" 413.450012 413.73999 410 410.329987 262500 396.927551
"2020-12-23" 410.100006 412.380005 403.440002 410.660004 321100 397.246796
"2020-12-24" 410.369995 416.040009 410.369995 415.570007 152800 401.996399
"2020-12-28" 418.350006 422.559998 413.890015 414.299988 203700 400.767883
"2020-12-29" 415.640015 416.649994 405.589996 407.279999 202600 393.977203
"2020-12-30" 407.149994 409.769989 402.959991 406.829987 179900 393.541931
"2020-12-31" 405.720001 408.850006 402.309998 408.339996 223500 395.002594
"2021-01-04" 410.440002 411.48999 391.170013 393.720001 432700 380.860077
"2021-01-05" 392.929993 398.75 392.929993 394.859985 381800 381.96283
"2021-01-06" 395.899994 401.209991 394.450012 397.170013 377900 384.197449
"2021-01-07" 398.25 400.890015 391.399994 400.01001 319900 386.944672
"2021-01-08" 403.470001 404.160004 388.329987 396.679993 418400 383.72345
"2021-01-11" 393.73999 395.820007 391.079987 391.709991 336600 378.915741
"2021-01-12" 393.619995 402.579987 390.839996 401.660004 350600 388.540771
"2021-01-13" 401.470001 402.160004 387.410004 388.48999 400400 375.800903
"2021-01-14" 389.570007 392.079987 382.01001 383.399994 323100 370.877167
"2021-01-15" 382 390.26001 378.369995 388.660004 852500 375.965424
"2021-01-19" 391.529999 395.429993 388.660004 394.48999 340300 381.60495
"2021-01-20" 396.059998 396.059998 388.329987 392.959991 307900 380.124908
"2021-01-21" 392 395.929993 389.720001 391.149994 316600 378.374054
"2021-01-22" 389.709991 395.839996 386.570007 393.48999 248400 380.637634
"2021-01-25" 393.450012 394.779999 386.690002 387.940002 306500 375.268921
"2021-01-26" 388.019989 389.720001 376.51001 376.690002 346300 364.386353
"2021-01-27" 373.820007 374.570007 360.970001 370.459991 636400 358.359802
"2021-01-28" 371.190002 376.700012 368.809998 371.910004 660000 359.762512
"2021-01-29" 369.799988 374 360.940002 364.390015 460800 352.488098
"2021-02-01" 367.190002 372.640015 366.279999 370.320007 395500 358.224426
"2021-02-02" 374.799988 378.339996 369.980011 373.109985 419400 360.923248
"2021-02-03" 368.75 371.950012 356.230011 366.109985 661700 354.151886
"2021-02-04" 368.420013 378.359985 366 372 491500 359.849518
"2021-02-05" 371.51001 373.079987 364.720001 367.899994 431700 357.35318
"2021-02-08" 369.440002 381.920013 369.440002 378.809998 395300 367.950409
"2021-02-09" 378 379.220001 372.850006 374.690002 325300 363.948547
"2021-02-10" 375.779999 377.809998 373 376.25 357100 365.463867
"2021-02-11" 379.160004 381.149994 372.040009 374.149994 207600 363.424042
"2021-02-12" 372.440002 375.869995 370.429993 372.079987 206300 361.41333
"2021-02-16" 373.619995 374.809998 369.640015 369.649994 222100 359.05304
"2021-02-17" 367.809998 373.540009 367 372.179993 209600 361.510498
"2021-02-18" 369.660004 377.329987 369.660004 375.790009 200600 365.016998
"2021-02-19" 377.320007 383.559998 377.01001 379.399994 228600 368.52356
"2021-02-22" 378.899994 381.070007 375.440002 377.339996 191900 366.522583
"2021-02-23" 379.359985 380.429993 369.26001 379.579987 284300 368.698364
"2021-02-24" 379.869995 387.359985 378.5 385.570007 314700 374.516632
"2021-02-25" 385.029999 389.190002 379.160004 379.959991 239400 369.067444
"2021-02-26" 381.350006 382.420013 372.709991 372.709991 368900 362.025299
